ID,Raw_Text,Intent,Symptoms,Duration,Location,Severity,Case_Category,Processed_Text,Text_Length,Processed_Length,Word_Count
23,Dada saya terasa sesak dan sulit bernapas beberapa jam terakhir.,keluhan_utama,sesak, ,dada,sedang,ISPA,dada terasa sesak sulit bernapas beberapa jam terakhir,64,54,8
24,Kulit saya gatal-gatal dan muncul ruam merah di seluruh tubuh.,keluhan_utama,"gatal,ruam", ,kulit,sedang,Dermatitis,kulit gatal gatal muncul ruam merah seluruh tubuh,62,49,8
25,Perut saya mulas dan sudah tiga kali buang air besar cair hari ini.,keluhan_utama, , ,perut,sedang,Gastritis,perut mulas sudah tiga kali buang air besar cair hari,67,53,10
26,Telinga saya berdenging dan pendengaran terasa berkurang.,keluhan_utama,berdenging, ,telinga,sedang,Hipertensi,telinga berdenging pendengaran terasa berkurang,57,47,5
27,"Lutut saya sakit saat ditekuk dan berjalan, sudah seminggu ini.",keluhan_utama,sakit,7 hari, ,sedang, ,lutut sakit saat ditekuk berjalan sudah seminggu,63,48,7
28,Saya merasa sangat cemas dan sulit tidur belakangan ini.,keluhan_utama, , , ,berat, ,merasa sangat cemas sulit tidur belakangan,56,42,6
29,Penglihatan saya buram dan berkunang-kunang beberapa hari ini!,keluhan_utama,berkunang,3 hari, ,sedang,Hipertensi,penglihatan buram berkunang kunang beberapa hari,62,48,6
30,Saya mengalami mimisan tanpa sebab yang jelas tadi pagi.,keluhan_utama, , , ,sedang, ,mengalami mimisan tanpa jelas tadi pagi,56,39,6
31,"Sakit kepala saya terasa berdenyut-denyut di bagian belakang, sudah 2 hari ini.",keluhan_utama,sakit,2 hari,kepala,sedang, ,sakit kepala terasa berdenyut denyut bagian belakang sudah 2 hari,79,65,10
32,Saya merasa sangat lemas dan tidak bertenaga sejak kemarin.,keluhan_utama,lemas,1 hari, ,berat,Diabetes,merasa sangat lemas tidak bertenaga sejak kemarin,59,49,7
33,Kulit saya gatal-gatal dan muncul ruam merah di lengan.,keluhan_utama,"gatal,ruam", ,lengan,sedang,Dermatitis,kulit gatal gatal muncul ruam merah lengan,55,42,7
34,Sudah tiga hari ini saya mengalami diare dan mual.,keluhan_utama,"mual,diare",3 hari, ,sedang,Gastritis,sudah tiga hari mengalami diare mual,50,36,6
35,Dada saya terasa sesak dan sulit bernapas!,keluhan_utama,sesak, ,dada,sedang,ISPA,dada terasa sesak sulit bernapas,42,32,5
36,Perut saya terasa perih dan mulas setelah makan.,keluhan_utama,perih, ,perut,sedang,Gastritis,perut terasa perih mulas setelah makan,48,38,6
37,Pilek dan hidung tersumbat ini sangat mengganggu aktivitas saya.,keluhan_utama,pilek, ,hidung,berat,ISPA,pilek hidung tersumbat sangat mengganggu aktivitas,64,50,6
38,Badan terasa panas dingin dan menggigil dari semalam.,keluhan_utama,panas,1 hari, ,sedang, ,badan terasa panas dingin menggigil semalam,53,43,6
39,"Lutut saya sakit sekali saat berjalan, terutama menanjak.",keluhan_utama,sakit, , ,berat, ,lutut sakit sekali saat berjalan terutama menanjak,57,50,7
40,Saya batuk berdahak dan tenggorokan sakit saat menelan.,keluhan_utama,"batuk,sakit", ,tenggorokan,sedang,ISPA,batuk berdahak tenggorokan sakit saat menelan,55,45,6
41,"Sudah seminggu ini saya merasakan nyeri di dada sebelah kiri, Dok!",keluhan_utama,nyeri,7 hari,dada,sedang, ,sudah seminggu merasakan nyeri dada sebelah kiri,66,48,7
42,"Saya mengalami gatal-gatal di seluruh tubuh, terutama malam hari.",keluhan_utama,gatal, , ,sedang,Dermatitis,mengalami gatal gatal seluruh tubuh terutama malam hari,65,55,8
43,Perut saya terasa mual dan sering muntah setelah makan pedas.,keluhan_utama,"mual,muntah", ,perut,sedang,Gastritis,perut terasa mual sering muntah setelah makan pedas,61,51,8
44,"Tekanan darah saya tinggi, seringkali di atas 140/90 mmHg.",keluhan_utama, , , ,sedang, ,tekanan darah tinggi seringkali atas 140 90 mmhg,58,48,8
45,Tenggorokan saya sakit saat menelan dan suara saya serak.,keluhan_utama,sakit, ,tenggorokan,sedang,ISPA,tenggorokan sakit saat menelan suara serak,57,42,6
46,"Saya diare sudah lima kali hari ini, perut saya juga melilit.",keluhan_utama,diare, ,perut,sedang,Gastritis,diare sudah lima kali hari perut juga melilit,61,45,8
47,"Lutut saya terasa sakit dan kaku, terutama saat bangun pagi.",keluhan_utama,sakit, , ,sedang, ,lutut terasa sakit kaku terutama saat bangun pagi,60,49,8
48,Saya merasa sangat cemas dan sulit tidur beberapa waktu belakangan ini.,keluhan_utama, , , ,berat, ,merasa sangat cemas sulit tidur beberapa waktu belakangan,71,57,8
49,Kulit kepala saya terasa sangat gatal dan banyak ketombe!,keluhan_utama,gatal, ,kepala,berat,Dermatitis,kulit kepala terasa sangat gatal banyak ketombe,57,47,7
50,"Badan saya terasa lemas dan tidak enak, Dok.",keluhan_utama,lemas, , ,sedang,Diabetes,badan terasa lemas tidak enak,44,29,5
51,"Saya merasa sesak napas sejak semalam, terutama saat berbaring.",keluhan_utama,sesak,1 hari, ,sedang,ISPA,merasa sesak napas sejak semalam terutama saat berbaring,63,56,8
52,Sudah tiga hari ini saya diare disertai mual.,keluhan_utama,"mual,diare",3 hari, ,sedang,Gastritis,sudah tiga hari diare disertai mual,45,35,6
53,"Dok, kulit saya gatal-gatal dan muncul ruam merah di lengan.",keluhan_utama,"gatal,ruam", ,lengan,sedang,Dermatitis,kulit gatal gatal muncul ruam merah lengan,60,42,7
54,Saya mengalami nyeri dada sebelah kiri sejak tadi pagi!,keluhan_utama,nyeri,1 hari,dada,sedang, ,mengalami nyeri dada sebelah kiri sejak tadi pagi,55,49,8
55,Kepala saya terasa berat dan berdenyut-denyut dari tadi siang.,keluhan_utama, , ,kepala,sedang, ,kepala terasa berat berdenyut denyut tadi siang,62,47,7
56,"Telinga saya berdenging terus-menerus, sangat mengganggu!",keluhan_utama,berdenging, ,telinga,berat,Hipertensi,telinga berdenging terus menerus sangat mengganggu,57,50,6
57,"Penglihatan saya agak kabur beberapa hari ini, Dok.",keluhan_utama, ,3 hari, ,ringan, ,penglihatan agak kabur beberapa hari,51,36,5
58,Saya batuk berdahak dan demam sudah dua hari ini.,keluhan_utama,"batuk,demam",2 hari, ,sedang,ISPA,batuk berdahak demam sudah dua hari,49,35,6
59,Perut saya terasa nyeri ulu hati setelah makan.,keluhan_utama,nyeri, ,ulu hati,sedang,Gastritis,perut terasa nyeri ulu hati setelah makan,47,41,7
60,Saya merasa sesak napas dan dada saya seperti tertekan sejak tadi malam!,keluhan_utama,sesak,1 hari,dada,sedang,ISPA,merasa sesak napas dada tertekan sejak tadi malam,72,49,8
61,"Badan saya lemas dan demam sudah tiga hari, disertai batuk berdahak.",keluhan_utama,"batuk,demam,lemas",3 hari, ,sedang,ISPA,badan lemas demam sudah tiga hari disertai batuk berdahak,68,57,9
62,Perut saya mulas dan sering buang air besar sejak semalam.,keluhan_utama, ,1 hari,perut,sedang,Gastritis,perut mulas sering buang air besar sejak semalam,58,48,8
63,"Telinga saya berdenging dan terasa penuh, sudah beberapa hari ini.",keluhan_utama,berdenging,3 hari,telinga,sedang,Hipertensi,telinga berdenging terasa penuh sudah beberapa hari,66,51,7
64,"Penglihatan saya kabur dan mata terasa perih, terutama saat melihat layar.",keluhan_utama,perih, ,mata,sedang, ,penglihatan kabur mata terasa perih terutama saat melihat layar,74,63,9
65,Saya merasa sangat cemas dan susah tidur beberapa minggu ini.,keluhan_utama, ,21 hari, ,berat, ,merasa sangat cemas susah tidur beberapa minggu,61,47,7
66,Lutut saya sakit saat berjalan dan terasa kaku di pagi hari.,keluhan_utama,sakit, , ,sedang, ,lutut sakit saat berjalan terasa kaku pagi hari,60,47,8
67,Nafsu makan saya menurun drastis dan berat badan saya turun.,keluhan_utama, , , ,sedang, ,nafsu makan menurun drastis berat badan turun,60,45,7
68,Badan saya terasa lemas dan demam sejak dua hari yang lalu.,keluhan_utama,"demam,lemas",2 hari, ,sedang,Diabetes,badan terasa lemas demam sejak dua hari lalu,59,44,8
69,Saya mengalami ruam merah gatal di punggung dan dada selama seminggu ini.,keluhan_utama,"gatal,ruam",7 hari,dada,sedang,Dermatitis,mengalami ruam merah gatal punggung dada selama seminggu,73,56,8
70,"Tekanan darah saya sering tinggi, terutama saat sedang stres.",keluhan_utama, , , ,sedang, ,tekanan darah sering tinggi terutama saat sedang stres,61,54,8
71,"Perut saya terasa mual dan perih setelah makan, sudah beberapa hari ini.",keluhan_utama,"mual,perih",3 hari,perut,sedang,Gastritis,perut terasa mual perih setelah makan sudah beberapa hari,72,57,9
72,Saya merasa sesak napas dan batuk berdahak sejak semalam.,keluhan_utama,"batuk,sesak",1 hari, ,sedang,ISPA,merasa sesak napas batuk berdahak sejak semalam,57,47,7
73,"Kaki saya bengkak, terutama di bagian pergelangan, sejak 3 hari terakhir.",keluhan_utama,bengkak,3 hari,kaki,sedang, ,kaki bengkak terutama bagian pergelangan sejak 3 hari terakhir,73,62,9
74,"Kepala saya sakit sekali seperti ditusuk-tusuk, terutama di bagian belakang.",keluhan_utama,sakit, ,kepala,berat, ,kepala sakit sekali ditusuk tusuk terutama bagian belakang,76,58,8
75,"Saya diare terus menerus sejak kemarin sore, sudah lebih dari lima kali.",keluhan_utama,diare,1 hari, ,sedang, ,diare terus menerus sejak kemarin sore sudah lebih lima kali,72,60,10
76,Mata saya terasa buram dan penglihatan jadi tidak jelas.,keluhan_utama, , ,mata,sedang, ,mata terasa buram penglihatan jadi tidak jelas,56,46,7
77,"Telinga saya berdenging terus menerus, mengganggu sekali!",keluhan_utama,berdenging, ,telinga,berat,Hipertensi,telinga berdenging terus menerus mengganggu sekali,57,50,6
78,Saya merasa mual dan ingin muntah dari tadi pagi.,keluhan_utama,"mual,muntah", , ,sedang,Gastritis,merasa mual muntah tadi pagi,49,28,5
79,Sudah tiga hari ini tenggorokan saya sakit saat menelan!,keluhan_utama,sakit,3 hari,tenggorokan,sedang,ISPA,sudah tiga hari tenggorokan sakit saat menelan,56,46,7
80,"Kaki saya bengkak, terutama di bagian pergelangan.",keluhan_utama,bengkak, ,kaki,sedang, ,kaki bengkak terutama bagian pergelangan,50,40,5
81,Ruam merah gatal muncul di kulit saya sekitar dua minggu lalu.,keluhan_utama,"gatal,ruam",14 hari,kulit,sedang,Dermatitis,ruam merah gatal muncul kulit sekitar dua minggu lalu,62,53,9
82,"Tekanan darah saya sepertinya tinggi, kepala saya sakit sekali.",keluhan_utama,sakit, ,kepala,berat, ,tekanan darah sepertinya tinggi kepala sakit sekali,63,51,7
83,"Saya sering buang air kecil, terutama di malam hari.",keluhan_utama, , , ,sedang, ,sering buang air kecil terutama malam hari,52,42,7
84,Perut saya terasa nyeri seperti ditusuk-tusuk di bagian ulu hati.,keluhan_utama,nyeri, ,ulu hati,sedang,Gastritis,perut terasa nyeri ditusuk tusuk bagian ulu hati,65,48,8
85,Saya mengalami sesak napas dan batuk berdahak sejak semalam.,keluhan_utama,"batuk,sesak",1 hari, ,sedang,ISPA,mengalami sesak napas batuk berdahak sejak semalam,60,50,7
86,"Penglihatan saya kabur akhir-akhir ini, apa mungkin karena mata minus?",keluhan_utama, , ,mata,sedang, ,penglihatan kabur akhir akhir apa mata minus,70,44,7
87,Saya merasa sangat lemas dan tidak bertenaga beberapa hari ini.,keluhan_utama,lemas,3 hari, ,berat,Diabetes,merasa sangat lemas tidak bertenaga beberapa hari,63,49,7
88,Pilek saya tidak kunjung sembuh sudah hampir satu minggu!,keluhan_utama,pilek, , ,sedang,ISPA,pilek tidak kunjung sembuh sudah hampir satu minggu,57,51,8
89,Dada saya terasa sesak dan berat saat bernapas.,keluhan_utama,sesak, ,dada,sedang,ISPA,dada terasa sesak berat saat bernapas,47,37,6
90,Perut saya mulas dan sering buang air besar.,keluhan_utama, , ,perut,sedang,Gastritis,perut mulas sering buang air besar,44,34,6
91,"Saya demam tinggi sejak semalam, disertai menggigil.",keluhan_utama,demam,1 hari, ,sedang,Demam_Typhoid,demam tinggi sejak semalam disertai menggigil,52,45,6
92,Penglihatan saya terasa kabur akhir-akhir ini.,keluhan_utama, , , ,sedang, ,penglihatan terasa kabur akhir akhir,46,36,5
93,"Lutut saya sakit sekali saat digerakkan, terutama saat naik tangga.",keluhan_utama,sakit, , ,berat, ,lutut sakit sekali saat digerakkan terutama saat naik tangga,67,60,9
94,Tekanan darah saya naik drastis beberapa hari terakhir ini.,keluhan_utama, ,3 hari, ,sedang, ,tekanan darah naik drastis beberapa hari terakhir,59,49,7
95,Saya merasa demam dan badan terasa lemas sekali.,keluhan_utama,"demam,lemas", , ,berat,Diabetes,merasa demam badan terasa lemas sekali,48,38,6
96,Sudah dua hari ini tenggorokan saya sakit saat menelan.,keluhan_utama,sakit,2 hari,tenggorokan,sedang,ISPA,sudah dua hari tenggorokan sakit saat menelan,55,45,7
97,"Saya mengalami diare sejak semalam, sudah lebih dari 5 kali ke toilet!",keluhan_utama,diare,1 hari, ,sedang, ,mengalami diare sejak semalam sudah lebih 5 kali toilet,70,55,9
98,"Dada saya terasa sesak dan nyeri saat bernapas, dok.",keluhan_utama,"sesak,nyeri", ,dada,sedang,ISPA,dada terasa sesak nyeri saat bernapas,52,37,6
99,"Tekanan darah saya sepertinya tinggi, kepala terasa berat sekali.",keluhan_utama, , ,kepala,berat, ,tekanan darah sepertinya tinggi kepala terasa berat sekali,65,58,8
100,"Perut saya mulas dan nyeri setelah makan, terutama makanan pedas.",keluhan_utama,nyeri, ,perut,sedang,Gastritis,perut mulas nyeri setelah makan terutama makanan pedas,65,54,8
101,Mata saya terasa perih dan berair sejak pagi tadi.,keluhan_utama,perih,1 hari,mata,sedang, ,mata terasa perih berair sejak pagi tadi,50,40,7
102,"Saya batuk berdahak sudah seminggu, dahaknya berwarna kuning kehijauan.",keluhan_utama,batuk,7 hari, ,sedang,ISPA,batuk berdahak sudah seminggu dahaknya berwarna kuning kehijauan,71,64,8
103,"Lutut saya sakit saat ditekuk atau berjalan jauh, dok.",keluhan_utama,sakit, , ,sedang, ,lutut sakit saat ditekuk berjalan jauh,54,38,6
104,Saya merasa demam dan badan pegal-pegal sejak dua hari lalu.,keluhan_utama,demam,2 hari, ,sedang,Demam_Typhoid,merasa demam badan pegal pegal sejak dua hari lalu,60,50,9
105,Sudah tiga hari ini saya susah tidur karena sesak napas!,keluhan_utama,sesak,3 hari, ,sedang,ISPA,sudah tiga hari susah tidur sesak napas,56,39,7
106,"Dada saya terasa nyeri seperti ditekan, terutama saat beraktivitas.",keluhan_utama,nyeri, ,dada,sedang, ,dada terasa nyeri ditekan terutama saat beraktivitas,67,52,7
107,Perut saya mulas dan sudah lima kali buang air besar hari ini.,keluhan_utama, , ,perut,sedang,Gastritis,perut mulas sudah lima kali buang air besar hari,62,48,9
108,"Kepala saya sakit sekali, rasanya seperti ditusuk-tusuk.",keluhan_utama,sakit, ,kepala,berat, ,kepala sakit sekali rasanya ditusuk tusuk,56,41,6
109,Saya merasa sangat lelah dan tidak bersemangat melakukan apa pun.,keluhan_utama, , , ,berat, ,merasa sangat lelah tidak bersemangat melakukan apa,65,51,7
110,Sudah seminggu ini tenggorokan saya sakit saat menelan.,keluhan_utama,sakit,7 hari,tenggorokan,sedang,ISPA,sudah seminggu tenggorokan sakit saat menelan,55,45,6
111,Mata saya terasa perih dan berair terus-menerus.,keluhan_utama,perih, ,mata,sedang, ,mata terasa perih berair terus menerus,48,38,6
112,"Sakit kepala saya terasa berdenyut-denyut di sebelah kiri, sudah dari pagi ini.",keluhan_utama,sakit, ,kepala,sedang, ,sakit kepala terasa berdenyut denyut sebelah kiri sudah pagi,79,60,9
113,Saya merasa sesak napas dan batuk berdahak sejak 3 hari lalu!,keluhan_utama,"batuk,sesak",3 hari, ,sedang,ISPA,merasa sesak napas batuk berdahak sejak 3 hari lalu,61,51,9
114,Perut saya mulas dan diare sudah 5 kali hari ini.,keluhan_utama,diare, ,perut,sedang,Gastritis,perut mulas diare sudah 5 kali hari,49,35,7
115,Kulit saya terasa gatal dan muncul ruam merah di lengan.,keluhan_utama,"gatal,ruam", ,lengan,sedang,Dermatitis,kulit terasa gatal muncul ruam merah lengan,56,43,7
116,Badan saya lemas dan demam tinggi sejak semalam.,keluhan_utama,"demam,lemas",1 hari, ,sedang,Diabetes,badan lemas demam tinggi sejak semalam,48,38,6
117,"Dada saya terasa nyeri seperti tertekan, terutama saat beraktivitas.",keluhan_utama,nyeri, ,dada,sedang, ,dada terasa nyeri tertekan terutama saat beraktivitas,68,53,7
118,"Lutut saya sakit saat ditekuk atau diluruskan, sudah beberapa minggu ini.",keluhan_utama,sakit,21 hari, ,sedang, ,lutut sakit saat ditekuk diluruskan sudah beberapa minggu,73,57,8
119,"Saya pilek dan hidung tersumbat, jadi susah bernapas!",keluhan_utama,pilek, ,hidung,sedang,ISPA,pilek hidung tersumbat jadi susah bernapas,53,42,6
120,"Penglihatan saya buram, terutama saat melihat jauh.",keluhan_utama, , , ,sedang, ,penglihatan buram terutama saat melihat jauh,51,44,6
121,"Telinga saya berdenging dan terasa penuh, mengganggu sekali.",keluhan_utama,berdenging, ,telinga,berat,Hipertensi,telinga berdenging terasa penuh mengganggu sekali,60,49,6
122,"Badan saya terasa lemas dan tidak enak, sudah 2 hari ini.",keluhan_utama,lemas,2 hari, ,sedang,Diabetes,badan terasa lemas tidak enak sudah 2 hari,57,42,8
123,Kulit saya gatal-gatal dan muncul ruam merah di tangan!,keluhan_utama,"gatal,ruam", ,tangan,sedang,Dermatitis,kulit gatal gatal muncul ruam merah tangan,55,42,7
124,Perut saya mulas dan diare sejak tadi pagi.,keluhan_utama,diare,1 hari,perut,sedang,Gastritis,perut mulas diare sejak tadi pagi,43,33,6
125,Lutut saya sakit sekali saat ditekuk atau diluruskan.,keluhan_utama,sakit, , ,berat, ,lutut sakit sekali saat ditekuk diluruskan,53,42,6
126,Saya merasa sangat cemas dan sulit tidur akhir-akhir ini.,keluhan_utama, , , ,berat, ,merasa sangat cemas sulit tidur akhir akhir,57,43,7
127,Penglihatan saya buram dan berkunang-kunang beberapa hari ini.,keluhan_utama,berkunang,3 hari, ,sedang,Hipertensi,penglihatan buram berkunang kunang beberapa hari,62,48,6
128,Saya batuk berdahak warna kuning kehijauan selama seminggu.,keluhan_utama,batuk,7 hari, ,sedang,ISPA,batuk berdahak warna kuning kehijauan selama seminggu,59,53,7
129,Saya merasa mual dan ingin muntah dari tadi pagi!,keluhan_utama,"mual,muntah", , ,sedang,Gastritis,merasa mual muntah tadi pagi,49,28,5
130,Dada saya terasa sesak dan sulit bernapas beberapa hari ini.,keluhan_utama,sesak,3 hari,dada,sedang,ISPA,dada terasa sesak sulit bernapas beberapa hari,60,46,7
131,Sudah seminggu ini telinga saya berdenging terus-menerus.,keluhan_utama,berdenging,7 hari,telinga,sedang,Hipertensi,sudah seminggu telinga berdenging terus menerus,57,47,6
132,"Gatal-gatal di kulit saya ini sudah sangat mengganggu, terutama malam hari.",keluhan_utama,gatal, ,kulit,berat,Dermatitis,gatal gatal kulit sudah sangat mengganggu terutama malam hari,75,61,9
133,Pergelangan kaki saya bengkak dan nyeri saat digerakkan.,keluhan_utama,"nyeri,bengkak", ,kaki,sedang, ,pergelangan kaki bengkak nyeri saat digerakkan,56,46,6
134,Penglihatan saya terasa buram dan berkunang-kunang.,keluhan_utama,berkunang, , ,sedang,Hipertensi,penglihatan terasa buram berkunang kunang,51,41,5
135,Sakit kepala sebelah kiri saya ini datang dan pergi sejak kemarin.,keluhan_utama,sakit,1 hari,kepala,sedang, ,sakit kepala sebelah kiri datang pergi sejak kemarin,66,52,8
136,Saya merasa sangat cemas dan susah tidur beberapa waktu belakangan ini.,keluhan_utama, , , ,berat, ,merasa sangat cemas susah tidur beberapa waktu belakangan,71,57,8
137,"Kaki saya terasa kebas dan kesemutan, terutama di jari-jari.",keluhan_utama, , ,kaki,sedang, ,kaki terasa kebas kesemutan terutama jari jari,60,46,7
138,"Saya merasa mual dan sering muntah-muntah, sudah 2 hari ini!",keluhan_utama,"mual,muntah",2 hari, ,sedang,Gastritis,merasa mual sering muntah muntah sudah 2 hari,60,45,8
139,"Tekanan darah saya tinggi, tadi saya coba cek di rumah.",keluhan_utama, ,1 hari, ,sedang, ,tekanan darah tinggi tadi cek rumah,55,35,6
140,Perut saya terasa perih dan kembung setelah makan.,keluhan_utama,"kembung,perih", ,perut,sedang,Gastritis,perut terasa perih kembung setelah makan,50,40,6
141,"Pilek saya tidak kunjung sembuh, sudah hampir seminggu.",keluhan_utama,pilek,7 hari, ,sedang,ISPA,pilek tidak kunjung sembuh sudah hampir seminggu,55,48,7
142,"Lutut saya sakit sekali saat berjalan, apalagi naik tangga.",keluhan_utama,sakit, , ,berat, ,lutut sakit sekali saat berjalan apalagi naik tangga,59,52,8
143,Sudah beberapa hari ini saya susah tidur nyenyak.,keluhan_utama, ,3 hari, ,sedang, ,sudah beberapa hari susah tidur nyenyak,49,39,6
144,Saya merasa sangat cemas dan panik belakangan ini.,keluhan_utama, , , ,berat, ,merasa sangat cemas panik belakangan,50,36,5
145,Saya mengalami sesak napas disertai batuk berdahak sudah 5 hari ini.,keluhan_utama,"batuk,sesak",5 hari, ,sedang,ISPA,mengalami sesak napas disertai batuk berdahak sudah 5 hari,68,58,9
146,"Tekanan darah saya sering naik, terutama saat sedang stres.",keluhan_utama, , , ,sedang, ,tekanan darah sering naik terutama saat sedang stres,59,52,8
147,Perut saya terasa nyeri ulu hati dan mual setelah makan.,keluhan_utama,"mual,nyeri", ,ulu hati,sedang,Gastritis,perut terasa nyeri ulu hati mual setelah makan,56,46,8
148,"Sudah tiga hari ini saya diare terus-menerus, lemas sekali.",keluhan_utama,"diare,lemas",3 hari, ,berat,Diabetes,sudah tiga hari diare terus menerus lemas sekali,59,48,8
149,"Kepala saya terasa berat dan berdenyut-denyut, mengganggu sekali!",keluhan_utama, , ,kepala,berat, ,kepala terasa berat berdenyut denyut mengganggu sekali,65,54,7
150,"Telinga saya berdenging terus-menerus, apa ya ini?",keluhan_utama,berdenging, ,telinga,sedang,Hipertensi,telinga berdenging terus menerus apa,50,36,5
151,"Dokter, saya merasa tidak enak badan.",keluhan_utama, , , ,sedang, ,merasa tidak enak badan,37,23,4
152,"Pilek saya tidak kunjung sembuh, sudah hampir seminggu ini.",keluhan_utama,pilek,7 hari, ,sedang,ISPA,pilek tidak kunjung sembuh sudah hampir seminggu,59,48,7
153,"Tenggorokan saya sakit sekali saat menelan, terutama pagi hari.",keluhan_utama,sakit, ,tenggorokan,berat,ISPA,tenggorokan sakit sekali saat menelan terutama pagi hari,63,56,8
154,Kulit saya terasa gatal dan muncul ruam merah di sekitar lengan.,keluhan_utama,"gatal,ruam", ,lengan,sedang,Dermatitis,kulit terasa gatal muncul ruam merah sekitar lengan,64,51,8
155,Dada saya terasa sesak dan sulit bernapas beberapa hari ini!,keluhan_utama,sesak,3 hari,dada,sedang,ISPA,dada terasa sesak sulit bernapas beberapa hari,60,46,7
156,Saya mengalami diare disertai mual sejak semalam.,keluhan_utama,"mual,diare",1 hari, ,sedang,Gastritis,mengalami diare disertai mual sejak semalam,49,43,6
157,"Perut saya terasa nyeri di bagian ulu hati, terutama setelah makan.",keluhan_utama,nyeri, ,ulu hati,sedang,Gastritis,perut terasa nyeri bagian ulu hati terutama setelah makan,67,57,9
158,"Tekanan darah saya tinggi terus, padahal sudah minum obat.",keluhan_utama, , , ,sedang, ,tekanan darah tinggi terus padahal sudah minum obat,58,51,8
